date	All NBA Teams	Atlanta Hawks	Boston Celtics	Brooklyn Nets	Charloette Hornets	Chicago Bulls	Cleveland Cavaliers	Dalls Mavericks	Denver Nuggets	Detroit Pistons	Golden State Warriors	Houston Rockets	Indianna Pacers	Los Angeles Clippers	Los Angeles Lakers	Memphis Grizzlies	Miami Heat	Milwaukee Bucks	Minnesota Timberwolves	New Orleans Pelicans	New York Knicks	Oklahoma City Thunder	Orlando Magic	Philadelphia 76er's	Phoenix Suns	Portland Trailblazers	Sacramento Kings	San Antonio Spurs	Toronto Raptors	Utah Jazz	Washington Wizards
20140801	576010	9211	12890	6566	17736	46339	79399	17902	10391	9131	22746	15255	36603	22531	52116	3139	35419	16171	23	2330	22044	8162	5059	19371	12755	11652	14528	40280	14594	5711	5956
20140901	496894	11477	10115	7861	9664	46373	52924	27759	10198	11501	35847	12402	6408	11026	57323	5881	27579	11429	14	5705	18779	7968	6586	16753	16324	9565	14168	18230	11081	5683	10271
20141001	1598899	23035	34020	24293	109703	124014	133645	54822	17173	21615	52347	52227	21103	30475	219465	15262	128514	35031	18	16186	122364	24023	21627	29998	38259	29257	24163	80894	45843	46609	22914
20141101	2193263	53932	59641	39193	49402	124279	125225	67571	36710	30252	135731	110941	36100	62841	239903	57752	130146	51019	26	32734	95903	44601	37142	75085	41115	59363	63183	101966	144036	41850	45621
20141201	2842043	87186	66887	51786	34487	163457	169817	125593	21505	36311	222905	132802	26789	204316	317904	70737	171385	57404	36	42704	80601	80207	31657	79460	44845	94652	59721	117530	131346	18409	99604
20150101	3041470	204073	51019	37314	40622	204684	221775	71677	22924	84670	245306	147224	33420	191018	218190	67832	198166	71662	17	32913	78830	92892	35047	61097	56887	109557	48409	89494	210388	38565	75798
20150201	2048045	171230	47045	33946	27394	109899	148092	72086	15949	44317	158289	101720	34623	70438	84310	41168	141353	65782	44	44021	50856	84487	35180	67671	57397	77795	44250	75559	80256	26940	35948
20150301	2305232	126392	62188	37356	30066	125971	167985	57239	22065	33840	198998	149636	44027	170228	92250	43565	175085	46813	44	31152	35436	91440	35006	71199	52597	79708	39717	117544	67747	44476	55462
20150401	3053100	131153	122618	69016	14020	247424	194785	112617	12417	21431	328839	263235	70258	156902	74105	84994	81665	120949	11	100731	24967	82976	20768	28064	19640	91921	34885	296427	130865	18886	96531
20150501	3299334	334520	8485	8830	5935	280314	522291	6733	5032	10415	830628	442511	10427	319433	73479	99751	19062	11666	13	6365	25381	8478	11075	41618	8117	9281	11685	81422	7614	5951	92822
20150601	3287755	79300	39254	15323	42809	50693	705265	41262	14643	28007	1494163	35791	16129	40327	188263	12142	75014	49735	26	7938	76739	15201	17058	83201	26706	24366	27822	33809	16813	11955	18001
20150701	1353118	30122	30682	17429	22589	46222	65582	69089	11311	19699	121212	27491	26017	83860	174491	21094	81762	49352	18	18921	42859	16599	23633	44531	38028	35123	40879	139841	22093	18948	13641
20150801	493365	11570	7612	7899	9464	23740	20458	11551	3550	9825	51036	16719	11100	25005	67602	6262	23466	17870	1353	5093	18196	8502	8153	22500	10983	10473	19730	28306	19099	7172	9076
20150901	584649	18123	10573	6196	9326	62366	29559	15169	6520	13675	56610	30894	7775	23533	58739	6126	44365	18604	5717	9974	13072	15045	10531	15957	14978	8168	18160	26448	14116	3328	11002
20151001	1963279	41729	43689	18325	46384	171488	118875	42919	14999	44503	219645	46355	30827	95766	291480	24641	141260	34831	49759	26056	59683	47334	30347	31808	26082	35464	37796	96236	57120	14552	23326
20151101	3150030	60394	51554	32137	61918	146737	161511	98516	29968	75147	591341	116300	61852	155462	277564	43785	194642	51983	54906	25627	126739	80019	44539	52413	41357	56210	103273	147034	142564	25344	39194
20151201	3851002	56795	108545	32763	61022	173937	216805	59042	21140	103916	840711	132982	54223	146889	363270	40739	275252	122138	39715	30430	89328	146763	39120	82453	42839	53559	88308	204255	113404	32771	77888
20160101	4711290	54171	75455	30054	61742	351443	311951	85747	30975	156736	782187	158068	50162	183686	329341	40515	297303	39729	49909	26061	139506	121091	40174	65597	32037	58188	128151	434854	457962	29897	88598
20160201	3017608	50673	94697	26440	49505	152883	146239	42209	22840	74775	581227	65478	42961	94411	308242	27672	182550	35487	49728	32152	89947	131323	60814	40535	37104	88883	45403	237329	110907	31276	63918
20160301	3049491	55648	72130	27760	61721	141099	156808	52204	27900	49223	537415	82357	44841	109395	345288	42811	206861	51125	37696	23899	77802	118088	39253	40004	36130	69694	85900	282374	78103	45233	50729
20160401	4475738	112427	214388	12900	121339	95210	232482	95482	9147	100693	875322	156400	99511	158317	740120	55084	289617	21927	50862	11951	30877	133714	21064	45212	19658	139501	57669	311871	201037	40255	21701
20160501	3931990	112202	27534	5133	10420	19047	547033	7943	6429	15218	1010938	21351	43811	14967	59631	10260	283550	10347	19702	16202	21458	496831	22919	75788	13231	101417	42949	199430	687587	11541	17121
20160601	5115741	24619	70865	10408	15797	131090	2115437	17095	20338	24938	1775426	18252	23436	26141	179296	10236	64714	27646	20698	40715	156885	31146	34967	80425	31338	13967	35729	54548	29110	16784	13695
20160701	2180759	33855	68273	25063	18589	163225	147623	47326	21380	22781	391091	26682	28422	29888	243429	13011	142224	26712	42503	21678	72585	47010	20367	85958	41074	30569	31726	262090	35480	19855	20290
20160801	633042	19720	13387	10532	4882	18472	48564	9817	8444	10463	103559	10737	14673	10104	78048	3958	16363	15706	8170	6455	34315	28912	9790	27479	9629	7706	17401	60645	13905	5174	6032
20160901	756120	14471	31967	10991	9682	33023	67501	14057	6582	11177	119697	19404	13447	11163	71675	10269	24227	22489	19516	10645	33004	14818	9301	57389	12292	11875	15220	41106	17540	6514	15078
20161001	2649783	40547	76983	34196	34216	144601	316666	34001	23509	28245	376896	67219	40224	48858	261885	25413	84078	38121	29731	35360	101373	120079	21847	123481	59771	72737	53833	208166	100588	25792	21367
20161101	3430979	121022	88568	40031	54760	156228	355522	44900	24758	41934	506336	98031	46469	112861	453007	55652	89148	63746	53311	50336	142040	148062	27301	102306	56604	69616	47482	169865	127619	38237	45227
20161201	3628562	62608	102853	35162	39090	199006	423762	44264	22797	42338	589600	181729	47653	109729	238624	72204	81228	97794	57049	36483	124229	141458	29711	93164	37736	64782	85610	355283	112275	41882	58459
20170101	5437970	140060	216867	30966	81614	303047	411938	49893	55843	42519	939087	240064	62996	123023	208328	107272	131637	179720	80323	43756	176707	151589	38788	317708	70986	96104	173607	341403	389257	106494	126374
20170201	3210119	79135	186264	33450	38861	150303	308463	67918	40649	49556	399051	123055	53147	97439	188321	31528	105115	70404	38703	153610	127170	118841	22618	91523	68224	45041	138173	141803	105135	35261	101358
20170301	3183159	77516	151960	40107	34616	106059	283370	93368	33000	32737	390449	163019	43701	86322	201703	55958	164748	70371	44678	51188	59114	144483	27018	72997	82102	80257	45046	295392	84154	53913	113813
20170401	1106185	38673	48127	15339	9615	45884	118508	28331	10799	14881	121444	51013	27160	22903	70748	13252	53125	31732	15746	6481	18585	98371	10010	16931	25005	38278	12601	66202	35484	18048	22909
